region,year,ball
Житомирська область,2020,22.53958691910499
Івано-Франківська область,2020,25.005128205128205
Запорізька область,2020,22.78367062107467
Хмельницька область,2020,22.78646329837941
Рівненська область,2020,24.426499032882013
Черкаська область,2020,23.631318136769078
Чернівецька область,2020,23.135728542914173
Львівська область,2020,26.185714285714287
Вінницька область,2019,24.39168765743073
Волинська область,2020,24.073529411764707
Чернігівська область,2019,27.054083885209714
Житомирська область,2019,24.60951599671862
Сумська область,2019,26.836923076923078
Івано-Франківська область,2019,26.60628272251309
Миколаївська область,2019,24.28950159066808
Рівненська область,2019,27.057251908396946
Тернопільська область,2020,23.82170542635659
Чернігівська область,2020,24.37795275590551
Миколаївська область,2020,22.09439834024896
Кіровоградська область,2019,24.379093198992443
Закарпатська область,2020,23.710306406685238
Харківська область,2019,27.090301003344482
Закарпатська область,2019,25.956043956043956
Кіровоградська область,2020,21.476923076923075
Львівська область,2019,28.52281825460368
Донецька область,2019,25.455568720379148
Київська область,2019,25.738191632928476
Запорізька область,2019,25.413291139240506
Київська область,2020,23.226969292389853
Луганська область,2019,24.853135313531354
Тернопільська область,2019,27.248945147679326
м.Київ,2020,27.857219251336897
м.Київ,2019,30.320964247020584
Хмельницька область,2019,25.952424519670632
Луганська область,2020,21.558213716108455
Харківська область,2020,24.675368898978434
Херсонська область,2019,25.17391304347826
Одеська область,2019,24.941425818882465
Полтавська область,2019,25.624617737003057
Полтавська область,2020,23.139032815198618
Волинська область,2019,27.89516129032258
Черкаська область,2019,26.534858387799563
Сумська область,2020,24.067326732673266
Дніпропетровська область,2020,23.938303341902312
Вінницька область,2020,23.087551299589602
Донецька область,2020,23.29224904701398
Дніпропетровська область,2019,25.738666666666667
Одеська область,2020,22.789555728760718
Чернівецька область,2019,25.777335984095426
Херсонська область,2020,22.94432071269488
